Truth,Pred
h,h
i,i
m,m
s,s
e,e
l,l
f,f
",",","
 , 
a,a
d,d
v,v
a,a
n,n
c,c
 , 
<INS>,-
t,t
h,h
e,e
 , 
p,p
a,a
r,r
t,t
y,y
",",","
 , 
a,a
n,n
d,d
 , 
 ,<DEL>
E,E
l,l
i,i
z,z
a,a
b,b
e,e
t,t
h,h
",",","
 , 
i,i
f,f
 , 
n,n
 , 
<INS>,=
<INS>, 
t,t
e,e
r,r
m,m
s,s
 , 
o,o
f,f
 , 
p,p
e,e
r,r
f,f
e,e
c,c
 , 
<INS>,‘
c,c
o,o
m,m
p,p
o,o
s,s
u,u
r,r
e,e
",",","
 , 
a,a
t,t
 , 
l,1
 , 
p,p
e,e
r,r
f,f
e,e
c,c
t,t
 , 
c,c
i,i
v,v
i,i
l,l
i,i
t,t
 , 
<INS>,=
i,i
n,n
s,s
t,t
i,i
n,n
c,c
t,t
i,i
v,v
e,e
l,l
y,y
 , 
t,t
p,<DEL>
o,<DEL>
č,<DEL>
a,<DEL>
l,<DEL>
 ,<DEL>
m,<DEL>
n,<DEL>
e,<DEL>
 ,<DEL>
u,<DEL>
b,<DEL>
e,<DEL>
z,<DEL>
p,<DEL>
e,<DEL>
č,<DEL>
o,<DEL>
v,<DEL>
a,<DEL>
t,<DEL>
i,<DEL>
",",<DEL>
 ,<DEL>
ž,<DEL>
e,<DEL>
 ,<DEL>
z,<DEL>
n,<DEL>
á,<DEL>
v,<DEL>
a,<DEL>
l,<DEL>
 ,<DEL>
m,<DEL>
n,<DEL>
o,<DEL>
h,<DEL>
é,<DEL>
 ,<DEL>
z,<DEL>
 ,<DEL>
d,<DEL>
ř,<DEL>
í,<DEL>
v,<DEL>
ě,<DEL>
j,<DEL>
š,<DEL>
í,<DEL>
c,<DEL>
h,<DEL>
 ,<DEL>
š,<DEL>
l,<DEL>
e,<DEL>
c,<DEL>
h,<DEL>
t,<DEL>
i,<DEL>
c,<DEL>
k,<DEL>
ý,<DEL>
c,<DEL>
h,<DEL>
 ,<DEL>
v,<DEL>
ě,<DEL>
z,<DEL>
ň,<DEL>
ů,<DEL>
",",<DEL>
 ,<DEL>
a,<DEL>
 ,<DEL>
j,<DEL>
m,<DEL>
e,<DEL>
n,<DEL>
o,<DEL>
v,<DEL>
a,<DEL>
l,<DEL>
 ,<DEL>
