Truth,Pred
h,h
i,i
m,m
s,s
e,e
l,l
f,f
",",","
 , 
a,a
d,d
v,v
a,a
n,n
c,c
 , 
t,t
h,h
e,e
 , 
p,p
a,a
r,r
t,t
y,y
",",","
 , 
a,a
n,n
d,d
 , 
 ,<DEL>
E,E
l,l
i,i
z,z
a,a
b,b
e,e
t,t
h,h
",",","
 , 
i,i
f,f
 , 
n,n
 , 
t,t
e,e
r,r
m,m
s,s
 , 
o,o
f,f
 , 
p,p
e,e
r,r
f,f
e,e
c,c
 , 
c,c
o,o
m,m
p,p
o,o
s,s
u,u
r,r
e,e
",",","
 , 
a,a
t,t
 , 
l,1
 , 
p,p
e,e
r,r
f,f
e,e
c,c
t,t
 , 
c,c
i,i
v,v
i,i
l,l
i,i
t,t
 , 
i,i
n,n
s,s
t,t
i,i
n,n
c,c
t,t
i,i
v,v
e,e
l,l
y,y
 , 
t,t
p,p
o,o
č,č
a,ů
l,l
 , 
m,m
n,n
e,e
 , 
u,u
b,b
e,e
z,z
p,p
e,e
č,č
o,o
v,v
a,a
t,t
i,i
",",","
 , 
ž,ž
e,e
 , 
z,z
n,n
á,á
v,v
a,a
l,l
 , 
m,m
n,n
o,o
h,h
é,é
 , 
z,z
 , 
d,d
ř,ř
í,í
v,v
ě,ě
j,j
š,š
í,í
c,c
h,h
 , 
š,š
l,l
e,e
c,c
h,h
t,t
i,i
c,c
k,k
ý,ý
c,c
h,h
 , 
<INS>,<
<INS>, 
<INS>,«
<INS>, 
v,v
ě,ě
z,ž
ň,ň
ů,ů
",",","
 , 
a,a
 , 
j,j
m,m
e,e
n,n
o,o
v,v
a,a
l,l
 , 
m,m
n,n
ě,ě
 , 
j,j
e,e
 , 
j,j
m,m
é,ě
n,ň
e,e
m,m
 , 
a,a
 , 
p,p
a,a
t,t
r,r
o,o
n,n
y,y
m,m
i,i
k,k
e,e
m,m
.,.
 , 
B,B
y,y
l,l
 , 
t,t
o,o
 , 
u,u
ž,ž
 ,<DEL>
š,š
e,e
d,d
i,i
v,v
ý,ý
 , 
v,v
o,o
j,j
á,á
k,k
;,;
 , 
n,n
a,a
 , 
t,t
v,v
á,á
ř,ř
i,i
 , 
m,m
ě,ě
l,l
 , 
n,n
a,a
p,p
s,s
á,á
n,n
o,o
",",","
 , 
ž,ž
e,e
 , 
c,c
o,o
 , 
