Truth,Pred
h,h
i,i
m,m
s,s
e,e
l,l
f,f
",",","
 , 
a,a
d,d
v,v
a,a
n,n
c,c
 , 
t,t
h,h
e,e
 , 
p,p
a,a
r,r
t,t
y,y
",",","
 , 
a,a
n,n
d,d
 , 
 ,<DEL>
E,E
l,l
i,i
z,z
a,a
b,b
e,e
t,t
h,h
",",<DEL>
 , 
i,i
f,f
 , 
n,<DEL>
 ,<DEL>
t,t
e,e
r,r
m,n
s,s
 , 
o,o
f,f
 , 
p,p
e,e
r,r
f,f
e,e
c,c
 , 
c,c
o,o
m,m
p,p
o,o
s,s
u,u
r,r
e,e
",",<DEL>
 , 
a,a
t,t
 , 
l,<DEL>
 ,<DEL>
p,p
e,e
r,r
f,f
e,e
c,c
t,t
 , 
c,c
i,i
v,v
i,i
l,l
i,i
t,t
 , 
i,i
n,n
s,s
t,t
i,i
n,n
c,c
t,t
i,i
v,v
e,e
l,l
y,y
 ,<DEL>
t,<DEL>
p,c
o,c
č,h
a,<DEL>
l,<DEL>
 ,<DEL>
m,<DEL>
n,n
e,e
 ,<DEL>
u,<DEL>
b,<DEL>
e,<DEL>
z,<DEL>
p,<DEL>
e,<DEL>
č,<DEL>
o,<DEL>
v,<DEL>
a,<DEL>
t,<DEL>
i,i
",",<DEL>
 , 
ž,<DEL>
e,<DEL>
 ,<DEL>
z,<DEL>
n,n
á,o
v,v
a,<DEL>
l,l
 , 
m,t
n,<DEL>
o,<DEL>
h,<DEL>
é,<DEL>
 ,<DEL>
z,<DEL>
 ,<DEL>
d,d
ř,a
í,y
v,o
ě,<DEL>
j,<DEL>
š,<DEL>
í,<DEL>
c,<DEL>
h,<DEL>
 ,<DEL>
š,<DEL>
l,<DEL>
e,<DEL>
c,<DEL>
h,<DEL>
t,<DEL>
i,i
c,<DEL>
k,k
ý,<DEL>
c,c
h,<DEL>
 ,<DEL>
v,<DEL>
ě,<DEL>
z,<DEL>
ň,<DEL>
ů,<DEL>
",",<DEL>
 ,<DEL>
a,<DEL>
 ,<DEL>
j,<DEL>
m,<DEL>
e,e
n,<DEL>
o,<DEL>
v,<DEL>
a,<DEL>
l,<DEL>
 , 
m,=
n,<DEL>
ě,<DEL>
 , 
j,<DEL>
e,<DEL>
 ,<DEL>
j,<DEL>
m,<DEL>
é,<DEL>
n,<DEL>
e,<DEL>
